Created Date,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Status,Resolution Description,Borough
01/02/2026 11:44:59 PM,illegal parking,blocked hydrant,closed,new york city police department responded complaint investigation determined violation law occurred police issued summons response complaint thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,queen
01/02/2026 11:44:56 PM,blocked driveway,access,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:44:49 PM,noise commercial,loud music/party,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,manhattan
01/02/2026 11:44:45 PM,illegal parking,blocked sidewalk,closed,new york city police department responded complaint investigation determined violation law occurred police issued summons response complaint thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:44:11 PM,abandoned vehicle,license plate,closed,new york city police department responded complaint investigation determined violation law occurred police issued summons response complaint thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:44:00 PM,noise,noise construction before/after hour nm,closed,department environmental protection dep didnt observe violation nyc air noise code time inspection couldnt issue summons problem still exists please go nycgov/ call file new service request youre outside new york city please call newyork,manhattan
01/02/2026 11:43:43 PM,illegal parking,blocked sidewalk,closed,new york city police department responded complaint investigation determined police action necessary problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:43:36 PM,sidewalk condition,sidewalk staircase,progress,department transportation requires day respond type complaint please note service request number future reference,bronx
01/02/2026 11:43:32 PM,unsanitary condition,mold,open,following complaint condition still open hpd already attempted notify property owner condition exists tenant provide access owner make repair hpd may attempt contact tenant phone verify correction condition hpd inspector may attempt conduct inspection,bronx
01/02/2026 11:43:32 PM,door/window,door,open,following complaint condition still open hpd already attempted notify property owner condition exists tenant provide access owner make repair hpd may attempt contact tenant phone verify correction condition hpd inspector may attempt conduct inspection,bronx
01/02/2026 11:43:27 PM,unsanitary condition,mold,closed,hpd called telephone number file complaint someone number indicated condition corrected complaint closed please submit new service request condition still exists,brooklyn
01/02/2026 11:43:27 PM,water leak,heavy flow,closed,hpd called telephone number file complaint someone number indicated condition corrected complaint closed please submit new service request condition still exists,brooklyn
01/02/2026 11:43:27 PM,nonemergency police matter,complaint detail,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:43:27 PM,electric,lighting,closed,hpd called telephone number file complaint someone number indicated condition corrected complaint closed please submit new service request condition still exists,brooklyn
01/02/2026 11:43:14 PM,heat/hot water,apartment,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,brooklyn
01/02/2026 11:43:00 PM,street light condition,street light,assigned,service request status request available department transportation website please click learn link,brooklyn
01/02/2026 11:43:00 PM,noise residential,banging/pounding,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,manhattan
01/02/2026 11:42:50 PM,heat/hot water,entire building,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,queen
01/02/2026 11:42:36 PM,noise street/sidewalk,loud music/party,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:42:30 PM,heat/hot water,entire building,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,manhattan
01/02/2026 11:42:24 PM,noise residential,loud music/party,closed,new york city police department responded complaint observed criminal violation upon arrival problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:42:19 PM,heat/hot water,entire building,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,queen
01/02/2026 11:42:10 PM,heat/hot water,entire building,closed,complaint duplicate buildingwide condition already reported another tenant original complaint still open hpd may need confirm condition exists inspecting one apartment cannot contact tenant original complaint get access apartment hpd may attempt contact person filed complaint verify correction condition may conduct inspection unit check hpdonline see,bronx
01/02/2026 11:41:24 PM,noise commercial,loud music/party,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,manhattan
01/02/2026 11:41:00 PM,water system,leak use comment wa,closed,department environmental protection determined complaint duplicate previously filed complaint original complaint addressed,queen
01/02/2026 11:41:00 PM,noise residential,banging/pounding,closed,new york city police department responded complaint officer unable gain entry premise problem persists please contact create another complaint ensure contact information eg buzzer number phone number etc available assist responding officer gaining entry properly investigate complaint count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:40:53 PM,plumbing,plumbingdefective/leaking/not maintained,assigned,department building reviewed complaint assigned plumbing division action,manhattan
01/02/2026 11:40:21 PM,nonemergency police matter,trespassing,closed,new york city police department responded complaint investigation determined police action necessary problem persists please contact create another complaint possible provide contact information responding officer may reach detail count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:39:48 PM,noise residential,loud music/party,closed,new york city police department responded complaint information available observed evidence criminal violation time problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc count new yorkers like maintain safe city please let u know see condition require attention,bronx
01/02/2026 11:39:47 PM,noise residential,loud music/party,closed,new york city police department responded complaint investigation determined criminal violation existed condition corrected without need issue summons effect arrest problem persists please contact create another complaint possible provide contact information responding officer may reach detail necessary complaint may referred local precinct special operation unit quality life etc thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,brooklyn
01/02/2026 11:39:31 PM,illegal parking,blocked sidewalk,closed,new york city police department responded complaint investigation determined violation law occurred police issued summons response complaint thank attention matter count new yorkers like maintain safe city please let u know see condition require attention,bronx
